Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C15, C30, C4, C49, C52, C57, C58, C59",0805,10,10uF,C15850
"C10, C11, C14, C16, C3",0805,5,100nF,C49678
"C13, C17",0805,2,10nF,C1710
"C18, C22",CP_EIA-7343-31_Kemet-D,2,100uF 16V,C7223
"C19, C24, C25",0805,3,22uF,C45783
"C2, C20, C21, C23, C40, C44, C45, C46, C47, C48, C5, C50, C51, C53, C54, C55, C56, C6, C60, C7, C8, C9",0805,22,100nF 50V X7R,C49678
"C26, C27, C29",0805,3,1uF 50V X7R,C28323
C28,0805,1,4.7uF 25V X7R,C1779
"C31, C32, C33, C34, C35, C36, C37, C38, C39, C41, C42, C43",0805,12,18nF,C1723
D1,LED_SK6812MINI-012,1,SK6812MINI-012,C2886570
"D2, D3, D4",D_SMA,3,SMAJ24CA,C113963
D5,SOT-23,1,SM712_SOT23,C521963
D6,0805,1,LED,C84256
F1,2410,1,MF2410F2.000TM,C83797
"FB1, FB2",0603,2,FerriteBead,C2942905
"GP1, RESET1, USR_INPUT1",SW_Push_1P1T_NO_CK_KMR2,3,SW_Push,C72443
J1,microSD_HC_Molex_47219-2001,1,Micro_SD_Card,C164170
"J10, J11, J9","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",3,Screw_Terminal_01x02,C3819953
"J12, J13, J14",Jack_3.5mm_CUI_SJ1-3523N_Horizontal,3,AudioJack3,C20182914
J2,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J4,U.FL_Molex_MCRF_73412-0110_Vertical,1,Conn_Coaxial,C434806
"J5, J6",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Pin,C131337
J7,"TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",1,Screw_Terminal_01x04,C3817931
J8,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",1,Screw_Terminal_01x03,C3816891
L1,0806,1,1uH,C161082
L2,1210,1,15uH,C250232
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,MMBT5551L,C2145
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R4, R5, R6, R7, R8, R9, RRX1, RTX1",0603,34,0R,C21189
"R100, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R18, R34, R35, R36, R43, R44, R45, R46, R47, R49, R50, R55",0805,29,10k,C17414
"R101, R102, R103, R82, R83, R84, R85, R86, R87, R97, R98, R99",0805,12,1k,C17513
"R37, R38, R39",1206,3,10k,C17902
"R40, R41, R42",0805,3,100R,C17408
R48,0805,1,46.4k,C483162
"R51, R53, R54, R56",0805,4,1.1k,C185294
R52,0805,1,590R,C55566
R57,0805,1,140k,C17460
"R58, R59, R60, R61, R62, R63, R64, R65, R66, R79, R80, R81, R88, R89, R90, R91, R92, R93, R94, R95, R96",1206,21,240k,C18001
"R67, R68, R69, R70, R71, R72",0805,6,0R,C17477
"R73, R74, R75, R76, R77, R78",0805,6,2.4R,C17528
RV1,RV_Disc_D12mm_W6.1mm_P7.5mm,1,10D561K,C2656193
R_TERM1,0805,1,120R,C17437
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913205
"U10, U11, U13",SOIC-16W_7.5x10.3mm_P1.27mm,3,ADuM1401xRW,C91762
U12,QFP50P900X900X120-48N,1,ATM90E32AS-AU-R,C177153
U14,XCVR_E22-900M30S,1,E22-900M30S,C411294
"U2, U3, U4",SO-5_4.39x3.84mm_P1.27mm,3,ACPL-M61L,C691956
U5,SOIC-20W_7.5x12.8mm_P1.27mm,1,ADM2582E,C39494
U6,Converter_ACDC_MeanWell_IRM-05-xx_THT,1,IRM-05-5,C48603696
U7,IC_TPS63021DSJR,1,TPS63021DSJR,C202140
U8,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24072RGT,C140288
U9,Converter_DCDC_Murata_NXExSxxxxMC_SMD,1,NXE1S0303MC,C20606969
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16.384MHz,C13739
