Designator,Mid X,Mid Y,Rotation,Layer
C1,61.0235,-44.8352,0.0,top
C10,100.7618,-149.3926,90.0,top
C11,112.7506,-161.61,270.0,top
C12,107.5436,-146.7104,90.0,top
C13,116.9924,-143.51,180.0,top
C14,73.6712,-66.675,0.0,top
C15,78.374602,-123.075745,0.0,top
C16,110.1912,-136.9386,90.0,top
C17,108.1592,-136.9386,90.0,top
C18,82.71929,-78.755487,270.0,top
C19,94.1892,-136.4456,90.0,top
C2,61.1759,-56.617,0.0,top
C20,96.2212,-136.4306,90.0,top
C21,100.2192,-133.8246,0.0,top
C22,85.7758,-135.5954,270.0,top
C23,57.9628,-104.5108,270.0,top
C24,55.836064,-104.496122,270.0,top
C25,63.5751,-92.320095,180.0,top
C26,63.5751,-90.237295,180.0,top
C27,67.1932,-90.2208,0.0,top
C28,60.0812,-90.237295,0.0,top
C29,60.0812,-92.320095,0.0,top
C3,61.0743,-68.3076,0.0,top
C30,58.0796,-113.5888,0.0,top
C31,58.0796,-109.474,0.0,top
C32,63.0784,-113.538,0.0,top
C33,63.0784,-109.474,0.0,top
C34,68.0872,-113.538,0.0,top
C35,68.0872,-109.474,0.0,top
C36,51.868333,-84.081701,270.0,top
C37,51.868333,-87.579901,270.0,top
C38,51.868333,-97.218501,270.0,top
C39,51.868333,-100.716701,270.0,top
C4,75.039024,-56.097526,270.0,top
C40,51.868333,-110.346901,270.0,top
C41,51.868333,-113.845101,270.0,top
C42,124.65,-65.601,90.0,top
C43,112.15,-79.5,0.0,top
C44,112.15,-81.6,0.0,top
C45,96.151,-128.6392,270.0,top
C46,131.9372,-101.802,0.0,top
C47,131.9372,-103.923,0.0,top
C48,92.0983,-72.601,270.0,top
C49,92.0983,-68.2118,90.0,top
C5,76.581,-47.9192,90.0,top
C52,96.0,-97.9578,0.0,top
C53,78.75,-97.9578,180.0,top
C54,96.25,-111.3636,0.0,top
C55,78.9,-111.3636,180.0,top
C56,96.0,-100.1522,0.0,top
C57,78.75,-100.1522,180.0,top
C6,83.185,-47.9392,90.0,top
C7,56.063,-39.8714,180.0,top
C8,97.3451,-161.7086,90.0,top
C9,97.3328,-152.6692,90.0,top
D1,44.577,-48.0436,90.0,top
D2,44.6049,-60.014,90.0,top
D3,44.6024,-71.5988,90.0,top
D4,44.572,-35.8074,0.0,top
D5,115.0643,-148.971,180.0,top
D6,99.187,-128.7272,90.0,top
F1,35.5,-154.43,270.0,top
GP0,129.8449,-159.9475,90.0,top
H1,122.6,-28.7,0.0,top
H2,45.5,-28.7,0.0,top
H3,39.0,-164.0,0.0,top
H4,122.6,-159.3,0.0,top
H5,88.6,-126.9,0.0,top
H6,88.6,-83.275,0.0,top
J1,127.9017,-87.8332,90.0,top
J10,38.512,-112.121,90.0,top
J11,36.9316,-60.3,270.0,top
J12,36.9545,-72.1468,270.0,top
J13,115.1796,-167.8686,0.0,top
J14,106.9246,-167.8686,0.0,top
J15,36.875,-34.1,270.0,top
J2,111.09960000000001,-90.6018,270.0,top
J3,129.77,-142.367,0.0,top
J6,36.9545,-48.5436,270.0,top
J7,38.512,-85.8558,90.0,top
J8,38.512,-98.9876,90.0,top
J9,36.6145,-134.306,270.0,top
JP1,50.399,-36.6964,180.0,top
JP2,105.7844,-158.21,90.0,top
JP3,108.4514,-158.1865,90.0,top
L1,100.6662,-142.2066,180.0,top
L2,70.3082,-67.3,90.0,top
L3,73.5838,-123.8504,90.0,top
Q1,50.8,-53.4096,180.0,top
Q2,50.9549,-65.441,180.0,top
Q3,50.8254,-77.0,180.0,top
Q4,50.8,-49.8536,180.0,top
Q5,50.9549,-61.951,180.0,top
Q6,50.8254,-73.4738,180.0,top
R0,115.6812,-126.376,90.0,top
R1,130.962137,-126.376,90.0,top
R10,108.7602,-111.733,0.0,top
R101,131.9,-99.4,0.0,top
R102,47.7799,-59.538,270.0,top
R103,101.8813,-156.591,0.0,top
R104,102.7938,-149.4301,270.0,top
R105,110.6104,-161.6475,270.0,top
R106,108.4514,-161.6475,270.0,top
R107,105.7844,-161.6475,270.0,top
R108,115.1363,-153.035,0.0,top
R109,115.1363,-151.003,0.0,top
R11,111.8082,-113.003949,0.0,top
R110,106.1272,-136.9761,270.0,top
R111,73.3298,-92.8605,270.0,top
R112,73.3298,-86.1079,270.0,top
R113,73.3298,-89.4823,90.0,top
R114,45.5783,-123.919161,180.0,top
R115,102.882,-128.1547,270.0,top
R116,45.365933,-84.106701,90.0,top
R117,45.365933,-87.604901,270.0,top
R118,45.365933,-97.238501,90.0,top
R119,45.365933,-100.736701,270.0,top
R12,108.7602,-114.273,0.0,top
R120,45.365933,-110.371901,90.0,top
R121,45.365933,-113.870101,270.0,top
R13,111.8082,-115.541924,0.0,top
R14,108.7602,-116.813,0.0,top
R15,123.3012,-103.263,270.0,top
R16,122.0172,-100.215,270.0,top
R17,120.7612,-103.263,90.0,top
R18,119.4912,-100.215,90.0,top
R19,115.1429,-157.099,180.0,top
R2,129.6512,-129.424,90.0,top
R20,47.625,-47.4406,270.0,top
R21,111.8082,-118.079898,180.0,top
R22,47.6504,-71.0613,270.0,top
R23,47.752,-53.4096,270.0,top
R24,47.9069,-65.4035,270.0,top
R25,47.7774,-76.9625,270.0,top
R26,78.613,-58.0367,90.0,top
R27,85.217,-58.0617,90.0,top
R28,73.007024,-45.980026,90.0,top
R29,53.208,-34.0059,270.0,top
R3,111.8082,-107.928,0.0,top
R30,53.208,-37.6089,270.0,top
R31,115.1363,-155.067,180.0,top
R32,101.8813,-158.623,0.0,top
R33,105.4119,-146.7104,270.0,top
R34,101.8813,-160.655,0.0,top
R35,116.9512,-129.424,270.0,top
R36,118.2212,-126.376,270.0,top
R37,119.4912,-129.424,270.0,top
R38,120.7612,-126.376,270.0,top
R39,122.0312,-129.424,270.0,top
R4,128.3812,-103.263,270.0,top
R40,123.3012,-126.376,270.0,top
R41,124.5712,-129.424,270.0,top
R42,125.8412,-126.376,270.0,top
R43,67.1811,-88.1888,0.0,top
R44,73.3298,-96.2387,90.0,top
R45,108.7602,-121.868,180.0,top
R46,108.7602,-109.193,180.0,top
R47,108.7602,-119.353,180.0,top
R48,111.8082,-120.617873,180.0,top
R49,48.5033,-126.205161,180.0,top
R5,127.1112,-100.215,270.0,top
R50,51.4243,-123.944561,180.0,top
R51,54.3453,-126.205161,180.0,top
R52,57.2663,-123.919161,180.0,top
R53,60.2127,-126.179761,180.0,top
R54,63.1377,-123.919161,180.0,top
R55,58.1171,-115.5954,0.0,top
R56,58.1171,-111.5314,0.0,top
R57,45.5783,-131.812128,180.0,top
R58,48.5033,-134.072728,180.0,top
R59,51.4243,-131.812128,180.0,top
R6,125.8412,-103.263,270.0,top
R60,54.3453,-134.072728,180.0,top
R61,57.2663,-131.807033,180.0,top
R62,60.2127,-134.072728,180.0,top
R63,63.1337,-131.812128,180.0,top
R64,63.1209,-115.57,0.0,top
R65,63.1209,-111.506,0.0,top
R66,45.5783,-139.6746,180.0,top
R67,48.494497,-141.9352,180.0,top
R68,51.4243,-139.6746,180.0,top
R69,54.3453,-141.9352,180.0,top
R7,124.5672,-100.215,270.0,top
R70,57.2663,-139.6746,180.0,top
R71,60.2127,-141.9352,180.0,top
R72,63.1337,-139.6746,180.0,top
R73,68.1209,-115.57,0.0,top
R74,68.1209,-111.506,0.0,top
R75,47.5234,-84.106701,90.0,top
R76,47.5234,-87.604901,90.0,top
R77,49.680866,-84.106701,270.0,top
R78,49.680866,-87.604901,90.0,top
R79,47.5234,-97.238501,90.0,top
R8,118.2212,-103.263,270.0,top
R80,47.5234,-100.736701,90.0,top
R81,49.680866,-97.238501,270.0,top
R82,49.680866,-100.736701,90.0,top
R83,47.5234,-110.371901,90.0,top
R84,47.5234,-113.870101,90.0,top
R85,49.680866,-110.371901,270.0,top
R86,49.680866,-113.870101,90.0,top
R87,73.3298,-99.5915,270.0,top
R88,73.3298,-102.9443,90.0,top
R89,80.9752,-89.4253,270.0,top
